drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
EFFEXOR XR,PALPITATIONS,5,27.51,10.32,73.32,EFFEXOR XR + PALPITATIONS
B12,ASTHENIA,3,27.41,6.51,115.45,B12 + ASTHENIA
SYNTHROID,HYPOTHYROIDISM,3,27.41,7.33,102.51,SYNTHROID + HYPOTHYROIDISM
SIMVASTATIN.,ARTHRITIS,3,27.38,8.0,93.72,SIMVASTATIN. + ARTHRITIS
JAKAFI,NOCTURIA,4,27.28,3.05,244.3,JAKAFI + NOCTURIA
JAKAFI,BLOOD IRON DECREASED,4,27.28,3.05,244.3,JAKAFI + BLOOD IRON DECREASED
JAKAFI,SENSATION OF HEAVINESS,4,27.28,3.05,244.3,JAKAFI + SENSATION OF HEAVINESS
CITALOPRAM,AGITATION,4,27.08,9.12,80.38,CITALOPRAM + AGITATION
ADVAIR,ASTHMA,3,27.07,7.85,93.34,ADVAIR + ASTHMA
YASMIN,ANXIETY,7,27.03,11.36,64.3,YASMIN + ANXIETY
TECFIDERA,MULTIPLE SCLEROSIS RELAPSE,19,27.0,15.18,48.05,TECFIDERA + MULTIPLE SCLEROSIS RELAPSE
AFINITOR,DEATH,9,26.96,11.09,65.55,AFINITOR + DEATH
LANSOPRAZOLE,URINARY TRACT INFECTION,5,26.81,10.01,71.8,LANSOPRAZOLE + URINARY TRACT INFECTION
LEVOFLOXACIN,DRUG INTERACTION,3,26.73,7.15,99.95,LEVOFLOXACIN + DRUG INTERACTION
LETAIRIS,FLUID RETENTION,84,26.66,15.58,45.62,LETAIRIS + FLUID RETENTION
CIPROFLOXACIN,ANXIETY,4,26.64,8.56,82.94,CIPROFLOXACIN + ANXIETY
HERCEPTIN,DISEASE PROGRESSION,3,26.55,7.57,93.16,HERCEPTIN + DISEASE PROGRESSION
PERCOCET,PULMONARY EMBOLISM,3,26.55,7.65,92.12,PERCOCET + PULMONARY EMBOLISM
ATENOLOL,TACHYCARDIA,3,26.51,7.59,92.62,ATENOLOL + TACHYCARDIA
ALDACTONE,HAEMOGLOBIN DECREASED,4,26.46,8.07,86.78,ALDACTONE + HAEMOGLOBIN DECREASED
CETIRIZINE,NO ADVERSE EVENT,4,26.3,8.93,77.47,CETIRIZINE + NO ADVERSE EVENT
XELODA,DISEASE PROGRESSION,7,26.22,11.33,60.65,XELODA + DISEASE PROGRESSION
PARACETAMOL,DRUG-INDUCED LIVER INJURY,3,26.2,7.39,92.91,PARACETAMOL + DRUG-INDUCED LIVER INJURY
LEVOTHYROXINE.,ANAEMIA,3,26.16,6.21,110.16,LEVOTHYROXINE. + ANAEMIA
CYMBALTA,DRUG ABUSE,4,26.11,8.88,76.77,CYMBALTA + DRUG ABUSE
OXALIPLATIN,DISEASE PROGRESSION,4,26.1,8.76,77.74,OXALIPLATIN + DISEASE PROGRESSION
PROVENTIL,OVERDOSE,4,25.95,8.16,82.49,PROVENTIL + OVERDOSE
CUBICIN,DEATH,4,25.93,6.93,97.06,CUBICIN + DEATH
EXEMESTANE,WEIGHT DECREASED,3,25.88,6.93,96.73,EXEMESTANE + WEIGHT DECREASED
ZOFRAN,DEHYDRATION,4,25.76,8.73,76.0,ZOFRAN + DEHYDRATION
METFORMIN,PANCREATIC CARCINOMA,4,25.72,8.27,80.05,METFORMIN + PANCREATIC CARCINOMA
SUBOXONE,CONVULSION,4,25.71,8.66,76.37,SUBOXONE + CONVULSION
ASPIRIN,ORAL PAIN,3,25.55,5.69,114.68,ASPIRIN + ORAL PAIN
NYSTATIN,PYREXIA,3,25.52,6.54,99.55,NYSTATIN + PYREXIA
MEROPENEM,PYREXIA,3,25.52,6.54,99.55,MEROPENEM + PYREXIA
MECLIZINE,HAEMOGLOBIN DECREASED,3,25.36,6.5,98.94,MECLIZINE + HAEMOGLOBIN DECREASED
ADVIL,DYSGEUSIA,3,25.28,7.41,86.26,ADVIL + DYSGEUSIA
CITALOPRAM,ABASIA,3,25.25,7.29,87.53,CITALOPRAM + ABASIA
RISPERDAL,SOMNOLENCE,3,25.22,7.01,90.78,RISPERDAL + SOMNOLENCE
NORCO,PARAESTHESIA,4,25.06,8.37,74.98,NORCO + PARAESTHESIA
FENOFIBRATE,ANAEMIA,4,25.02,7.27,86.1,FENOFIBRATE + ANAEMIA
ZOLOFT,MATERNAL EXPOSURE DURING PREGNANCY,4,24.78,8.45,72.69,ZOLOFT + MATERNAL EXPOSURE DURING PREGNANCY
DOXORUBICIN,MALIGNANT NEOPLASM PROGRESSION,3,24.66,7.09,85.69,DOXORUBICIN + MALIGNANT NEOPLASM PROGRESSION
OXYCODONE HCL 30MG,DRUG INEFFECTIVE,10,24.58,9.66,62.57,OXYCODONE HCL 30MG + DRUG INEFFECTIVE
DIANEAL LOW CALCIUM,HERNIA,6,24.57,9.24,65.37,DIANEAL LOW CALCIUM + HERNIA
EXTRANEAL,SEPSIS,3,24.39,7.16,83.05,EXTRANEAL + SEPSIS
ENBREL,MOBILITY DECREASED,5,24.39,9.13,65.15,ENBREL + MOBILITY DECREASED
JAKAFI,HAEMOGLOBIN DECREASED,129,24.27,16.93,34.79,JAKAFI + HAEMOGLOBIN DECREASED
LETAIRIS,LARYNGEAL PAIN,5,24.26,2.83,207.76,LETAIRIS + LARYNGEAL PAIN
REMICADE,HERPES ZOSTER,3,24.15,7.03,83.01,REMICADE + HERPES ZOSTER
ALBENDAZOLE,HEADACHE,3,24.05,4.84,119.52,ALBENDAZOLE + HEADACHE
BISOPROLOL,URINARY TRACT INFECTION,5,24.03,9.04,63.86,BISOPROLOL + URINARY TRACT INFECTION
CITALOPRAM,NECK PAIN,3,23.99,6.95,82.8,CITALOPRAM + NECK PAIN
TYSABRI,CENTRAL NERVOUS SYSTEM LESION,4,23.93,7.82,73.26,TYSABRI + CENTRAL NERVOUS SYSTEM LESION
JAKAFI,HOSPICE CARE,7,23.93,4.96,115.3,JAKAFI + HOSPICE CARE
LORAZEPAM,NEUTROPENIA,3,23.86,7.01,81.19,LORAZEPAM + NEUTROPENIA
LAMOTRIGINE,TREMOR,3,23.62,6.78,82.33,LAMOTRIGINE + TREMOR
PACLITAXEL,DISEASE PROGRESSION,3,23.59,6.8,81.91,PACLITAXEL + DISEASE PROGRESSION
FUROSEMIDE,HAEMATOCRIT DECREASED,4,23.56,7.91,70.19,FUROSEMIDE + HAEMATOCRIT DECREASED
ERLOTINIB TABLET,DEATH,14,23.44,11.72,46.87,ERLOTINIB TABLET + DEATH
PERCOCET,ALOPECIA,3,23.36,6.75,80.8,PERCOCET + ALOPECIA
CAPECITABINE,DIARRHOEA,3,23.35,5.2,104.77,CAPECITABINE + DIARRHOEA
TENORMIN,DIARRHOEA,3,23.35,5.2,104.77,TENORMIN + DIARRHOEA
BENADRYL,CONTUSION,3,23.29,6.62,81.92,BENADRYL + CONTUSION
TYVASO,PHARYNGITIS,3,23.23,5.96,90.54,TYVASO + PHARYNGITIS
ENBREL,HERNIA,3,23.21,6.63,81.21,ENBREL + HERNIA
LISINOPRIL,WITHDRAWAL SYNDROME,3,23.11,6.29,84.95,LISINOPRIL + WITHDRAWAL SYNDROME
SINGULAIR,WHEEZING,3,23.08,6.79,78.49,SINGULAIR + WHEEZING
RITUXIMAB,PANCYTOPENIA,3,23.08,6.79,78.49,RITUXIMAB + PANCYTOPENIA
VITAMIN D3,FLATULENCE,3,22.99,6.77,78.07,VITAMIN D3 + FLATULENCE
DEXAMETHASONE,FEBRILE NEUTROPENIA,3,22.96,6.71,78.53,DEXAMETHASONE + FEBRILE NEUTROPENIA
LEVEMIR,WEIGHT INCREASED,3,22.95,6.15,85.65,LEVEMIR + WEIGHT INCREASED
MIRENA,DEPRESSED MOOD,3,22.84,6.64,78.56,MIRENA + DEPRESSED MOOD
CRESTOR,CARDIAC FAILURE,3,22.84,6.64,78.56,CRESTOR + CARDIAC FAILURE
AVONEX,MULTIPLE SCLEROSIS,5,22.81,8.29,62.79,AVONEX + MULTIPLE SCLEROSIS
AMPYRA,URINARY TRACT INFECTION,3,22.62,6.52,78.45,AMPYRA + URINARY TRACT INFECTION
PRADAXA,HAEMATURIA,3,22.53,6.57,77.3,PRADAXA + HAEMATURIA
HYDREA,INCREASED APPETITE,3,22.46,6.58,76.65,HYDREA + INCREASED APPETITE
TRACLEER,LIVER FUNCTION TEST ABNORMAL,3,22.44,6.58,76.51,TRACLEER + LIVER FUNCTION TEST ABNORMAL
CISPLATIN,THROMBOCYTOPENIA,3,22.44,6.58,76.51,CISPLATIN + THROMBOCYTOPENIA
PREDNISONE.,THROMBOCYTOPENIA,3,22.44,6.58,76.51,PREDNISONE. + THROMBOCYTOPENIA
CICLOSPORIN,DRUG INEFFECTIVE,8,22.39,8.08,61.99,CICLOSPORIN + DRUG INEFFECTIVE
FLUDARABINE,DRUG INEFFECTIVE,8,22.39,8.08,61.99,FLUDARABINE + DRUG INEFFECTIVE
NUVIGIL,NAUSEA,3,22.31,4.97,100.09,NUVIGIL + NAUSEA
NEXIUM,RECTAL HAEMORRHAGE,3,22.3,6.51,76.33,NEXIUM + RECTAL HAEMORRHAGE
METFORMIN,BLOOD POTASSIUM INCREASED,4,22.29,7.29,68.16,METFORMIN + BLOOD POTASSIUM INCREASED
HYDROXYCHLOROQUINE,PAIN IN EXTREMITY,3,22.23,6.05,81.68,HYDROXYCHLOROQUINE + PAIN IN EXTREMITY
YAZ,ABDOMINAL PAIN,12,22.2,11.37,43.33,YAZ + ABDOMINAL PAIN
AMIODARONE,GASTROINTESTINAL HAEMORRHAGE,3,21.92,6.41,75.0,AMIODARONE + GASTROINTESTINAL HAEMORRHAGE
DIGOXIN,GASTROINTESTINAL HAEMORRHAGE,3,21.92,6.41,75.0,DIGOXIN + GASTROINTESTINAL HAEMORRHAGE
LETAIRIS,EXERCISE TOLERANCE DECREASED,9,21.88,4.72,101.36,LETAIRIS + EXERCISE TOLERANCE DECREASED
TRICOR,DRUG INTERACTION,3,21.87,6.03,79.36,TRICOR + DRUG INTERACTION
TEGRETOL,CONVULSION,3,21.86,6.35,75.29,TEGRETOL + CONVULSION
LETROZOLE (UNKNOWN),DRUG INTOLERANCE,5,21.86,8.25,57.94,LETROZOLE (UNKNOWN) + DRUG INTOLERANCE
TYLENOL,MUSCULOSKELETAL PAIN,3,21.84,6.43,74.17,TYLENOL + MUSCULOSKELETAL PAIN
ULORIC,ANAEMIA,3,21.8,5.42,87.73,ULORIC + ANAEMIA
CLOPIDOGREL,PYREXIA,4,21.78,6.86,69.1,CLOPIDOGREL + PYREXIA
EXEMESTANE,FATIGUE,6,21.7,6.97,67.56,EXEMESTANE + FATIGUE
SEROQUEL,TREMOR,4,21.69,7.36,63.9,SEROQUEL + TREMOR
PRADAXA,ATRIAL FIBRILLATION,4,21.66,7.41,63.3,PRADAXA + ATRIAL FIBRILLATION
SANDOSTATIN LAR DEPOT,DEATH,4,21.61,6.07,76.97,SANDOSTATIN LAR DEPOT + DEATH
PRADAXA,RECTAL HAEMORRHAGE,3,21.55,6.3,73.71,PRADAXA + RECTAL HAEMORRHAGE
LYRICA,NEURALGIA,3,21.53,5.66,81.86,LYRICA + NEURALGIA
FLUOXETINE,ABDOMINAL PAIN,5,21.49,7.77,59.47,FLUOXETINE + ABDOMINAL PAIN
LEXAPRO,FLATULENCE,3,21.17,6.26,71.63,LEXAPRO + FLATULENCE
ATORVASTATIN,RENAL IMPAIRMENT,3,21.16,6.11,73.28,ATORVASTATIN + RENAL IMPAIRMENT
ALLOPURINOL.,DIARRHOEA,6,20.95,7.41,59.21,ALLOPURINOL. + DIARRHOEA
DEPAKOTE,PANIC ATTACK,4,20.86,6.83,63.72,DEPAKOTE + PANIC ATTACK
EFFEXOR,PALPITATIONS,3,20.85,6.1,71.26,EFFEXOR + PALPITATIONS
GILENYA,BALANCE DISORDER,3,20.74,6.13,70.14,GILENYA + BALANCE DISORDER
IBUPROFEN,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3,20.65,6.06,70.43,IBUPROFEN + CHRONIC OBSTRUCTIVE PULMONARY DISEASE
AMPYRA,HYPERTENSION,3,20.62,5.96,71.4,AMPYRA + HYPERTENSION
AMPYRA,PARAESTHESIA,3,20.62,5.96,71.4,AMPYRA + PARAESTHESIA
LETAIRIS,OEDEMA,85,20.55,12.71,33.23,LETAIRIS + OEDEMA
AVONEX,CENTRAL NERVOUS SYSTEM LESION,4,20.53,6.72,62.7,AVONEX + CENTRAL NERVOUS SYSTEM LESION
JAKAFI,DECREASED ACTIVITY,3,20.45,2.13,196.72,JAKAFI + DECREASED ACTIVITY
JAKAFI,BLOOD URIC ACID INCREASED,3,20.45,2.13,196.72,JAKAFI + BLOOD URIC ACID INCREASED
JAKAFI,THROMBOCYTOSIS,3,20.45,2.13,196.72,JAKAFI + THROMBOCYTOSIS
JAKAFI,RASH PAPULAR,3,20.45,2.13,196.72,JAKAFI + RASH PAPULAR
JAKAFI,NON-CARDIAC CHEST PAIN,3,20.45,2.13,196.72,JAKAFI + NON-CARDIAC CHEST PAIN
COPEGUS,PRURITUS,4,20.37,6.67,62.2,COPEGUS + PRURITUS
BEVACIZUMAB,ABDOMINAL PAIN,3,20.36,5.55,74.76,BEVACIZUMAB + ABDOMINAL PAIN
LASIX,MELAENA,3,20.36,5.76,71.89,LASIX + MELAENA
GLEEVEC,DEATH,5,20.32,6.61,62.49,GLEEVEC + DEATH
FISH OIL,NIGHT SWEATS,4,20.2,6.9,59.11,FISH OIL + NIGHT SWEATS
SIMVASTATIN,MELAENA,3,20.16,5.71,71.19,SIMVASTATIN + MELAENA
SIMVASTATIN,MUSCULOSKELETAL STIFFNESS,3,20.16,5.71,71.19,SIMVASTATIN + MUSCULOSKELETAL STIFFNESS
VITAMIN D3,ABDOMINAL DISTENSION,4,20.09,6.91,58.43,VITAMIN D3 + ABDOMINAL DISTENSION
JAKAFI,RED BLOOD CELL COUNT DECREASED,26,20.03,9.36,42.85,JAKAFI + RED BLOOD CELL COUNT DECREASED
PICATO,INCORRECT DOSE ADMINISTERED,3,20.0,5.91,67.63,PICATO + INCORRECT DOSE ADMINISTERED
HUMIRA,RHEUMATOID ARTHRITIS,3,19.98,5.62,71.07,HUMIRA + RHEUMATOID ARTHRITIS
VYTORIN,TYPE 2 DIABETES MELLITUS,5,19.9,5.74,68.97,VYTORIN + TYPE 2 DIABETES MELLITUS
YASMIN,PAIN,10,19.85,9.19,42.85,YASMIN + PAIN
PROCHLORPERAZINE,MALAISE,4,19.81,5.77,68.08,PROCHLORPERAZINE + MALAISE
TRACLEER,CONDITION AGGRAVATED,5,19.8,7.58,51.73,TRACLEER + CONDITION AGGRAVATED
MIRENA,PAIN,21,19.79,11.58,33.81,MIRENA + PAIN
ONDANSETRON,LOCAL SWELLING,3,19.72,5.81,66.98,ONDANSETRON + LOCAL SWELLING
TYSABRI,MEMORY IMPAIRMENT,10,19.71,9.71,40.01,TYSABRI + MEMORY IMPAIRMENT
DIOVAN,CARDIAC DISORDER,3,19.68,5.83,66.41,DIOVAN + CARDIAC DISORDER
DIANEAL LOW CALCIUM,CORONARY ARTERY OCCLUSION,3,19.66,5.17,74.68,DIANEAL LOW CALCIUM + CORONARY ARTERY OCCLUSION
KEPPRA,BALANCE DISORDER,3,19.62,5.81,66.17,KEPPRA + BALANCE DISORDER
ATENOLOL,DRUG WITHDRAWAL SYNDROME,3,19.58,5.74,66.81,ATENOLOL + DRUG WITHDRAWAL SYNDROME
OMEPRAZOLE,TRANSAMINASES INCREASED,3,19.54,5.32,71.72,OMEPRAZOLE + TRANSAMINASES INCREASED
PREDNISONE,ASTHMA,5,19.54,7.22,52.89,PREDNISONE + ASTHMA
AVONEX,STRESS,6,19.53,7.85,48.61,AVONEX + STRESS
XARELTO,GASTROINTESTINAL HAEMORRHAGE,8,19.48,8.96,42.35,XARELTO + GASTROINTESTINAL HAEMORRHAGE
HYDROXYUREA,SPLENOMEGALY,3,19.45,5.76,65.62,HYDROXYUREA + SPLENOMEGALY
BENDROFLUMETHIAZIDE,WEIGHT DECREASED,3,19.41,5.41,69.6,BENDROFLUMETHIAZIDE + WEIGHT DECREASED
HUMIRA,UPPER RESPIRATORY TRACT INFECTION,4,19.4,6.46,58.23,HUMIRA + UPPER RESPIRATORY TRACT INFECTION
LETAIRIS,CATHETERISATION CARDIAC,4,19.39,2.17,173.63,LETAIRIS + CATHETERISATION CARDIAC
MULTIVITAMIN,BURNING SENSATION,3,19.38,5.71,65.8,MULTIVITAMIN + BURNING SENSATION
SIMVASTATIN.,TYPE 2 DIABETES MELLITUS,17,19.25,9.86,37.6,SIMVASTATIN. + TYPE 2 DIABETES MELLITUS
MIRENA,DEPRESSION,10,19.24,9.52,38.91,MIRENA + DEPRESSION
TYVASO,COUGH,44,19.21,13.22,27.91,TYVASO + COUGH
OXYTROL FOR WOMEN,POLLAKIURIA,4,19.06,6.38,56.95,OXYTROL FOR WOMEN + POLLAKIURIA
CELEXA,DEPRESSION,4,19.0,6.4,56.37,CELEXA + DEPRESSION
AVONEX,MEMORY IMPAIRMENT,11,19.0,9.62,37.52,AVONEX + MEMORY IMPAIRMENT
HYDROXYZINE,PRURITUS,3,18.95,5.29,67.96,HYDROXYZINE + PRURITUS
VENTOLIN,PNEUMONIA,4,18.94,6.25,57.43,VENTOLIN + PNEUMONIA
LETAIRIS,PERIPHERAL SWELLING,82,18.89,11.76,30.33,LETAIRIS + PERIPHERAL SWELLING
BISOPROLOL,PYREXIA,8,18.86,8.41,42.29,BISOPROLOL + PYREXIA
FLUOXETINE,PYREXIA,5,18.82,6.81,51.98,FLUOXETINE + PYREXIA
MIRENA,ANXIETY,11,18.71,9.52,36.78,MIRENA + ANXIETY
GLYBURIDE,ANAEMIA,3,18.68,4.8,72.73,GLYBURIDE + ANAEMIA
MELATONIN,ANAEMIA,3,18.68,4.8,72.73,MELATONIN + ANAEMIA
LEVOTHYROXINE.,DIARRHOEA,3,18.68,4.44,78.5,LEVOTHYROXINE. + DIARRHOEA
EVEROLIMUS,FATIGUE,6,18.6,6.22,55.57,EVEROLIMUS + FATIGUE
HYDREA,WHITE BLOOD CELL COUNT INCREASED,4,18.58,6.42,53.75,HYDREA + WHITE BLOOD CELL COUNT INCREASED
ACLASTA,DEATH,9,18.52,8.12,42.26,ACLASTA + DEATH
ATORVASTATIN CALCIUM.,NEUROPATHY PERIPHERAL,3,18.45,5.47,62.25,ATORVASTATIN CALCIUM. + NEUROPATHY PERIPHERAL
SILDENAFIL CITRATE.,DYSPNOEA,3,18.41,3.71,91.42,SILDENAFIL CITRATE. + DYSPNOEA
LEVOTHYROXINE,MUSCULOSKELETAL STIFFNESS,3,18.39,5.21,64.85,LEVOTHYROXINE + MUSCULOSKELETAL STIFFNESS
HYDROXYZINE,INSOMNIA,3,18.38,5.13,65.88,HYDROXYZINE + INSOMNIA
CICLOSPORIN,INSOMNIA,3,18.38,5.13,65.88,CICLOSPORIN + INSOMNIA
JAKAFI,FLATULENCE,29,18.32,9.13,36.77,JAKAFI + FLATULENCE
DIANEAL LOW CALCIUM,DEHYDRATION,15,18.19,9.97,33.21,DIANEAL LOW CALCIUM + DEHYDRATION
FISH OIL,HOT FLUSH,3,18.19,5.34,61.97,FISH OIL + HOT FLUSH
TYSABRI,STRESS,5,18.09,6.8,48.14,TYSABRI + STRESS
MIRAPEX,HEADACHE,3,18.03,4.02,80.85,MIRAPEX + HEADACHE
COZAAR,PYREXIA,3,17.86,4.87,65.49,COZAAR + PYREXIA
IRBESARTAN,NAUSEA,3,17.85,4.25,75.0,IRBESARTAN + NAUSEA
PROCHLORPERAZINE,DIARRHOEA,4,17.84,5.2,61.27,PROCHLORPERAZINE + DIARRHOEA
PREDNISONE,INFLAMMATION,3,17.77,5.0,63.11,PREDNISONE + INFLAMMATION
LANSOPRAZOLE,PYREXIA,7,17.77,7.55,41.83,LANSOPRAZOLE + PYREXIA
CITALOPRAM,EXPOSURE DURING PREGNANCY,3,17.76,5.25,60.06,CITALOPRAM + EXPOSURE DURING PREGNANCY
LAMICTAL,LOSS OF CONSCIOUSNESS,3,17.74,5.23,60.18,LAMICTAL + LOSS OF CONSCIOUSNESS
PICATO GEL,OFF LABEL USE,3,17.71,4.94,63.45,PICATO GEL + OFF LABEL USE
DIAZEPAM,BLOOD PRESSURE INCREASED,3,17.7,5.25,59.68,DIAZEPAM + BLOOD PRESSURE INCREASED
CETIRIZINE,HYPERHIDROSIS,3,17.7,5.25,59.68,CETIRIZINE + HYPERHIDROSIS
AVASTIN,HYPERTENSION,3,17.67,5.17,60.43,AVASTIN + HYPERTENSION
AVONEX,INFLUENZA LIKE ILLNESS,8,17.62,8.03,38.68,AVONEX + INFLUENZA LIKE ILLNESS
AMBIEN,EMOTIONAL DISTRESS,3,17.49,5.2,58.83,AMBIEN + EMOTIONAL DISTRESS
REVLIMID,NEUTROPENIA,4,17.48,6.02,50.79,REVLIMID + NEUTROPENIA
MOTRIN,ARTHRALGIA,3,17.47,4.96,61.56,MOTRIN + ARTHRALGIA
AUBAGIO,HYPOAESTHESIA,3,17.46,5.09,59.85,AUBAGIO + HYPOAESTHESIA
AMIODARONE,TREMOR,3,17.45,5.13,59.38,AMIODARONE + TREMOR
SOLIRIS,HAEMOGLOBIN DECREASED,8,17.4,7.81,38.76,SOLIRIS + HAEMOGLOBIN DECREASED
MULTIVITAMIN,NIGHT SWEATS,3,17.37,5.15,58.61,MULTIVITAMIN + NIGHT SWEATS
HUMIRA,LYMPHADENOPATHY,3,17.31,4.94,60.62,HUMIRA + LYMPHADENOPATHY
LOSARTAN,URINARY TRACT INFECTION,7,17.26,7.61,39.15,LOSARTAN + URINARY TRACT INFECTION
HYDROCODONE,ARTHRALGIA,5,17.25,6.47,45.97,HYDROCODONE + ARTHRALGIA
IBUPROFEN,DEEP VEIN THROMBOSIS,4,17.21,5.96,49.68,IBUPROFEN + DEEP VEIN THROMBOSIS
BENDROFLUMETHIAZIDE,WEIGHT INCREASED,3,17.21,4.8,61.63,BENDROFLUMETHIAZIDE + WEIGHT INCREASED
BACTRIM,DRUG HYPERSENSITIVITY,3,17.16,4.9,60.08,BACTRIM + DRUG HYPERSENSITIVITY
CLONAZEPAM,THROMBOCYTOPENIA,3,17.15,5.1,57.63,CLONAZEPAM + THROMBOCYTOPENIA
TYVASO,DYSPHONIA,5,17.11,6.2,47.21,TYVASO + DYSPHONIA
METRONIDAZOLE,PYREXIA,4,17.1,5.57,52.52,METRONIDAZOLE + PYREXIA
SEROQUEL,LOSS OF CONSCIOUSNESS,3,17.06,5.04,57.72,SEROQUEL + LOSS OF CONSCIOUSNESS
ASPIRIN,INCREASED TENDENCY TO BRUISE,3,17.03,4.24,68.43,ASPIRIN + INCREASED TENDENCY TO BRUISE
LEXAPRO,INJURY,3,17.01,5.07,57.09,LEXAPRO + INJURY
LEVOXYL,HAEMOGLOBIN DECREASED,4,17.0,5.54,52.19,LEVOXYL + HAEMOGLOBIN DECREASED
ATENOLOL,FLATULENCE,4,16.91,5.85,48.89,ATENOLOL + FLATULENCE
SUBOXONE,HYPERSENSITIVITY,3,16.72,4.93,56.74,SUBOXONE + HYPERSENSITIVITY
GILENYA,MULTIPLE SCLEROSIS RELAPSE,3,16.66,4.96,55.9,GILENYA + MULTIPLE SCLEROSIS RELAPSE
DIANEAL LOW CALCIUM (ULTRABAG),DEHYDRATION,5,16.65,6.42,43.23,DIANEAL LOW CALCIUM (ULTRABAG) + DEHYDRATION
YAZ,ANXIETY,8,16.64,7.65,36.22,YAZ + ANXIETY
DEPAKOTE,HALLUCINATION,3,16.63,4.72,58.58,DEPAKOTE + HALLUCINATION
FINASTERIDE,WEIGHT DECREASED,3,16.63,4.72,58.58,FINASTERIDE + WEIGHT DECREASED
NORCO,HYPOAESTHESIA,3,16.62,4.87,56.78,NORCO + HYPOAESTHESIA
LORAZEPAM,DRUG INTERACTION,7,16.54,7.2,37.98,LORAZEPAM + DRUG INTERACTION
OMEPRAZOLE,HAEMATOCRIT DECREASED,5,16.49,6.11,44.51,OMEPRAZOLE + HAEMATOCRIT DECREASED
SYNTHROID,HAEMATOCHEZIA,3,16.44,4.7,57.52,SYNTHROID + HAEMATOCHEZIA
DULERA,COUGH,3,16.4,4.41,61.02,DULERA + COUGH
SEROQUEL,SOMNOLENCE,4,16.29,5.56,47.69,SEROQUEL + SOMNOLENCE
ADVIL,PULMONARY EMBOLISM,3,16.25,4.83,54.63,ADVIL + PULMONARY EMBOLISM
BUSULFAN,DRUG INEFFECTIVE,5,16.22,4.93,53.35,BUSULFAN + DRUG INEFFECTIVE
DENOSUMAB,FATIGUE,3,16.17,3.61,72.46,DENOSUMAB + FATIGUE
BUMETANIDE,FATIGUE,3,16.17,3.61,72.46,BUMETANIDE + FATIGUE
TEMAZEPAM,HAEMOGLOBIN DECREASED,3,16.13,4.46,58.36,TEMAZEPAM + HAEMOGLOBIN DECREASED
ASPIRIN.,GAIT DISTURBANCE,4,16.04,5.52,46.61,ASPIRIN. + GAIT DISTURBANCE
AVONEX,MULTIPLE SCLEROSIS RELAPSE,9,15.97,7.64,33.39,AVONEX + MULTIPLE SCLEROSIS RELAPSE
METOPROLOL,DISORIENTATION,3,15.95,4.58,55.47,METOPROLOL + DISORIENTATION
PROMETHAZINE,HAEMOGLOBIN DECREASED,4,15.86,5.21,48.31,PROMETHAZINE + HAEMOGLOBIN DECREASED
LOSARTAN,MYALGIA,5,15.84,6.11,41.04,LOSARTAN + MYALGIA
FLUOROURACIL,CHEST PAIN,4,15.78,5.33,46.66,FLUOROURACIL + CHEST PAIN
SYNTHROID,HAEMATOCRIT DECREASED,4,15.78,5.33,46.66,SYNTHROID + HAEMATOCRIT DECREASED
FUROSEMIDE.,OEDEMA PERIPHERAL,5,15.71,5.96,41.43,FUROSEMIDE. + OEDEMA PERIPHERAL
ALEVE,DEPRESSION,3,15.6,4.54,53.55,ALEVE + DEPRESSION
LOMOTIL,DIARRHOEA,3,15.56,3.87,62.51,LOMOTIL + DIARRHOEA
LOPRESSOR,DIARRHOEA,3,15.56,3.87,62.51,LOPRESSOR + DIARRHOEA
ZOLOFT,DRUG HYPERSENSITIVITY,8,15.55,7.17,33.72,ZOLOFT + DRUG HYPERSENSITIVITY
GASTROGRAFIN,DRUG INEFFECTIVE,4,15.55,4.16,58.07,GASTROGRAFIN + DRUG INEFFECTIVE
ATORVASTATIN,MYALGIA,6,15.48,6.45,37.17,ATORVASTATIN + MYALGIA
SUTENT,DEATH,8,15.44,6.61,36.07,SUTENT + DEATH
TAXOTERE,ASTHENIA,4,15.29,4.89,47.8,TAXOTERE + ASTHENIA
PRADAXA,CEREBROVASCULAR ACCIDENT,6,15.28,6.37,36.63,PRADAXA + CEREBROVASCULAR ACCIDENT
MIRALAX,ABDOMINAL DISTENSION,3,15.26,4.55,51.15,MIRALAX + ABDOMINAL DISTENSION
NOVOLOG,ASTHENIA,3,15.22,4.09,56.63,NOVOLOG + ASTHENIA
PREDNISOLONE,CONDITION AGGRAVATED,4,15.22,5.3,43.68,PREDNISOLONE + CONDITION AGGRAVATED
VYVANSE,OVERDOSE,3,15.18,4.31,53.4,VYVANSE + OVERDOSE
XELJANZ,PRURITUS,3,15.16,4.34,52.99,XELJANZ + PRURITUS
HYDREA,FLATULENCE,3,15.16,4.53,50.68,HYDREA + FLATULENCE
AUBAGIO,DRUG DOSE OMISSION,3,15.12,4.42,51.72,AUBAGIO + DRUG DOSE OMISSION
RISPERIDONE,SOMNOLENCE,3,15.12,4.42,51.72,RISPERIDONE + SOMNOLENCE
YAZ,MIGRAINE,3,15.1,4.52,50.45,YAZ + MIGRAINE
WARFARIN,HAEMORRHAGE,7,15.07,6.66,34.1,WARFARIN + HAEMORRHAGE
