drug,reaction,report_count,ROR,CI_lower,CI_upper,drug_reaction
MIRALAX,PRODUCT SOLUBILITY ABNORMAL,3,905.73,91.82,8933.91,MIRALAX + PRODUCT SOLUBILITY ABNORMAL
SOLIRIS,APLASTIC ANAEMIA,3,905.73,91.82,8933.91,SOLIRIS + APLASTIC ANAEMIA
EVEROLIMUS,MOUTH ULCERATION,5,891.07,233.14,3405.71,EVEROLIMUS + MOUTH ULCERATION
TAMOXIFEN CITRATE (UNKNOWN),NEOPLASM PROGRESSION,3,879.0,89.18,8663.79,TAMOXIFEN CITRATE (UNKNOWN) + NEOPLASM PROGRESSION
OCELLA,PULMONARY EMBOLISM,5,871.67,100.24,7579.53,OCELLA + PULMONARY EMBOLISM
CYCLOPHOSPHAMIDE,ACUTE GRAFT VERSUS HOST DISEASE,7,870.71,175.46,4320.79,CYCLOPHOSPHAMIDE + ACUTE GRAFT VERSUS HOST DISEASE
KADCYLA,FEBRILE NEUTROPENIA,4,867.04,151.27,4969.71,KADCYLA + FEBRILE NEUTROPENIA
ATRIPLA,RENAL IMPAIRMENT,3,831.42,130.99,5277.15,ATRIPLA + RENAL IMPAIRMENT
PICATO GEL,APPLICATION SITE EXFOLIATION,6,831.42,239.62,2884.76,PICATO GEL + APPLICATION SITE EXFOLIATION
SPIRIVA,INCORRECT ROUTE OF DRUG ADMINISTRATION,25,824.67,280.15,2427.56,SPIRIVA + INCORRECT ROUTE OF DRUG ADMINISTRATION
METHOTREXATE,ACUTE GRAFT VERSUS HOST DISEASE,8,816.0,101.08,6587.34,METHOTREXATE + ACUTE GRAFT VERSUS HOST DISEASE
VICTOZA,PANCREATIC CARCINOMA,8,805.82,262.66,2472.21,VICTOZA + PANCREATIC CARCINOMA
CARBOPLATIN,SECOND PRIMARY MALIGNANCY,3,787.58,124.46,4983.72,CARBOPLATIN + SECOND PRIMARY MALIGNANCY
CYCLIZINE,SWELLING FACE,3,765.92,77.95,7525.39,CYCLIZINE + SWELLING FACE
CICLOSPORIN,ACUTE GRAFT VERSUS HOST DISEASE,4,725.82,171.68,3068.5,CICLOSPORIN + ACUTE GRAFT VERSUS HOST DISEASE
FLUDARABINE,ACUTE GRAFT VERSUS HOST DISEASE,4,725.82,171.68,3068.5,FLUDARABINE + ACUTE GRAFT VERSUS HOST DISEASE
ATORVASTATIN CALCIUM.,TYPE 2 DIABETES MELLITUS,33,697.84,95.23,5113.87,ATORVASTATIN CALCIUM. + TYPE 2 DIABETES MELLITUS
XGEVA,OSTEONECROSIS OF JAW,5,692.57,171.86,2791.0,XGEVA + OSTEONECROSIS OF JAW
AROMASIN,NEOPLASM PROGRESSION,6,642.58,153.76,2685.35,AROMASIN + NEOPLASM PROGRESSION
XOLAIR,ASTHMA,5,623.19,155.83,2492.19,XOLAIR + ASTHMA
PICATO,APPLICATION SITE SWELLING,8,612.98,188.02,1998.48,PICATO + APPLICATION SITE SWELLING
VINORELBINE (UNKNOWN),MALIGNANT NEOPLASM PROGRESSION,4,601.76,66.37,5456.32,VINORELBINE (UNKNOWN) + MALIGNANT NEOPLASM PROGRESSION
MIRENA,GENITAL HAEMORRHAGE,7,599.41,121.92,2946.84,MIRENA + GENITAL HAEMORRHAGE
CLARITHROMYCIN,TRANSAMINASES INCREASED,3,598.92,125.86,2849.97,CLARITHROMYCIN + TRANSAMINASES INCREASED
ATRIPLA,LETHARGY,3,598.2,95.79,3735.72,ATRIPLA + LETHARGY
TRIFLUCAN,RENAL FAILURE ACUTE,3,596.76,61.03,5835.55,TRIFLUCAN + RENAL FAILURE ACUTE
VOLTAREN GEL,DRUG ADMINISTERED AT INAPPROPRIATE SITE,4,577.97,122.44,2728.23,VOLTAREN GEL + DRUG ADMINISTERED AT INAPPROPRIATE SITE
DABIGATRAN,DRUG INTERACTION,51,558.85,286.36,1090.63,DABIGATRAN + DRUG INTERACTION
EXEMESTANE,BODY TEMPERATURE INCREASED,3,554.56,119.8,2567.0,EXEMESTANE + BODY TEMPERATURE INCREASED
HUMALOG LISPRO,BLOOD GLUCOSE INCREASED,5,553.44,126.54,2420.49,HUMALOG LISPRO + BLOOD GLUCOSE INCREASED
DEXAMETHASONE,CAPILLARY LEAK SYNDROME,3,552.33,56.55,5394.38,DEXAMETHASONE + CAPILLARY LEAK SYNDROME
LITHIONIT,HYPERHIDROSIS,3,532.5,54.55,5197.77,LITHIONIT + HYPERHIDROSIS
SOBRIL,HYPERHIDROSIS,3,532.5,54.55,5197.77,SOBRIL + HYPERHIDROSIS
MIRENA,PREGNANCY WITH CONTRACEPTIVE DEVICE,9,532.07,140.33,2017.43,MIRENA + PREGNANCY WITH CONTRACEPTIVE DEVICE
PARAGARD 380A,DEVICE EXPULSION,17,529.88,228.42,1229.19,PARAGARD 380A + DEVICE EXPULSION
PICATO,APPLICATION SITE VESICLES,9,512.18,176.94,1482.58,PICATO + APPLICATION SITE VESICLES
DONEPEZIL,HYPOKINESIA,3,499.05,109.33,2277.98,DONEPEZIL + HYPOKINESIA
EVEROLIMUS,BODY TEMPERATURE INCREASED,3,499.05,109.33,2277.98,EVEROLIMUS + BODY TEMPERATURE INCREASED
APREPITANT,RASH GENERALISED,3,498.7,94.88,2621.18,APREPITANT + RASH GENERALISED
"PICATO (INGENOL MEBUTATE) (0.015 %, GEL)",APPLICATION SITE PAIN,3,498.7,94.88,2621.18,"PICATO (INGENOL MEBUTATE) (0.015 %, GEL) + APPLICATION SITE PAIN"
CHAMPIX,HAEMATURIA,5,498.5,133.84,1856.7,CHAMPIX + HAEMATURIA
PARACETAMOL,PULMONARY HAEMORRHAGE,4,495.75,54.8,4484.74,PARACETAMOL + PULMONARY HAEMORRHAGE
SOBRIL,PALPITATIONS,3,480.68,49.32,4685.1,SOBRIL + PALPITATIONS
LITHIONIT,PALPITATIONS,3,480.68,49.32,4685.1,LITHIONIT + PALPITATIONS
MIRENA,ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE,3,480.68,49.32,4685.1,MIRENA + ECTOPIC PREGNANCY WITH CONTRACEPTIVE DEVICE
FASLODEX /01285001/,NEOPLASM PROGRESSION,3,439.46,71.16,2713.98,FASLODEX /01285001/ + NEOPLASM PROGRESSION
PLAVIX,SOCIAL PROBLEM,3,431.61,44.34,4201.03,PLAVIX + SOCIAL PROBLEM
PLAVIX,PHYSICAL DISABILITY,3,431.61,44.34,4201.03,PLAVIX + PHYSICAL DISABILITY
PLAVIX,PSYCHOLOGICAL TRAUMA,3,431.61,44.34,4201.03,PLAVIX + PSYCHOLOGICAL TRAUMA
LETROZOLE (UNKNOWN),MALIGNANT NEOPLASM PROGRESSION,44,429.2,240.81,764.94,LETROZOLE (UNKNOWN) + MALIGNANT NEOPLASM PROGRESSION
YASMIN,DEEP VEIN THROMBOSIS,16,420.87,187.1,946.7,YASMIN + DEEP VEIN THROMBOSIS
SOBRIL,MUSCULAR WEAKNESS,3,419.37,43.1,4080.46,SOBRIL + MUSCULAR WEAKNESS
LITHIONIT,MUSCULAR WEAKNESS,3,419.37,43.1,4080.46,LITHIONIT + MUSCULAR WEAKNESS
PICATO GEL,APPLICATION SITE DRYNESS,3,415.79,93.04,1858.06,PICATO GEL + APPLICATION SITE DRYNESS
"PICATO (INGENOL MEBUTATE) (0.015 %, GEL)",DRUG ADMINISTERED AT INAPPROPRIATE SITE,3,415.42,79.8,2162.42,"PICATO (INGENOL MEBUTATE) (0.015 %, GEL) + DRUG ADMINISTERED AT INAPPROPRIATE SITE"
VINORELBINE (UNKNOWN),BREAST CANCER,4,412.46,45.68,3724.48,VINORELBINE (UNKNOWN) + BREAST CANCER
PARAGARD 380A,EMBEDDED DEVICE,5,404.51,93.58,1748.58,PARAGARD 380A + EMBEDDED DEVICE
LITHIONIT,TREMOR,3,402.24,41.36,3911.97,LITHIONIT + TREMOR
SOBRIL,SWELLING,3,402.24,41.36,3911.97,SOBRIL + SWELLING
SOBRIL,TREMOR,3,402.24,41.36,3911.97,SOBRIL + TREMOR
LITHIONIT,SWELLING,3,402.24,41.36,3911.97,LITHIONIT + SWELLING
PROGRAF,ACUTE GRAFT VERSUS HOST DISEASE,4,398.84,99.73,1595.0,PROGRAF + ACUTE GRAFT VERSUS HOST DISEASE
FENTANYL,CARDIOMEGALY,3,398.76,76.75,2071.69,FENTANYL + CARDIOMEGALY
MULTIHANCE,NEPHROGENIC SYSTEMIC FIBROSIS,3,398.76,76.75,2071.69,MULTIHANCE + NEPHROGENIC SYSTEMIC FIBROSIS
PICATO,APPLICATION SITE PAIN,11,396.72,158.93,990.27,PICATO + APPLICATION SITE PAIN
